,coal,lignite,oil,gas
2009-08-01,11.597093690248567,7.731395793499045,49.798447319778184,28.3341345769487
2009-09-01,10.254462019815751,6.8363080132105,46.08354898336413,28.2696655562958
2009-10-01,10.038199200417177,6.6921328002781175,48.622846580406645,29.23670086608927
2009-11-01,9.77688162697723,6.517921084651488,50.31571164510166,29.10776282478347
2009-12-01,9.641717364853122,6.4278115765687485,50.080591497227346,30.010329113924044
2010-01-01,9.344355988180082,6.229570658786721,53.56036968576709,30.91289540306462
2010-02-01,9.380399791413177,6.253599860942118,53.654417744916806,31.912165223184537
2010-03-01,9.443476447071095,6.2956509647140635,57.416340110905715,32.460151898734175
2010-04-01,9.731826872935862,6.487884581957241,62.40088724584102,33.0726075949367
2010-05-01,10.659954806188077,7.106636537458718,58.07467652495378,34.20081545636242
2010-06-01,11.155557100643145,7.43703806709543,60.47290203327171,35.81254097268487
2010-07-01,11.173579002259693,7.449052668173128,60.94314232902032,37.35979746835443
2010-08-01,10.966327133669392,7.310884755779595,59.48539741219962,38.23012924716855
2010-09-01,10.885228576394926,7.256819050929951,59.3913493530499,37.00521785476349
2010-10-01,10.632921953763256,7.088614635842171,59.25027726432531,38.42353630912724
2010-11-01,11.128524248218323,7.419016165478882,61.789574861367825,38.52023984010659
2010-12-01,11.930498870154706,7.95366591343647,68.2788909426987,39.29386808794137
2011-01-01,12.624342082391797,8.416228054927865,70.5830683918669,40.06749633577614
2011-02-01,12.498188771075961,8.332125847383974,73.96879852125693,40.90559360426382
2011-03-01,12.326980705718759,8.217987137145839,84.17301293900184,41.4858147901399
2011-04-01,12.011597427429171,8.007731618286114,83.74979667282808,42.83966422385076
2011-05-01,12.065663132278814,8.043775421519209,79.70573012939,44.19351365756162
2011-06-01,12.029619329045717,8.019746219363812,78.34203327171902,44.00010659560292
2011-07-01,12.615331131583524,8.410220754389016,80.78728280961182,45.64406662225182
2011-08-01,12.498188771075961,8.332125847383974,77.07238447319777,45.418425049966686
2011-09-01,12.624342082391797,8.416228054927865,79.51763401109055,43.54882345103263
2011-10-01,12.56126542673388,8.37417695115592,78.76524953789277,48.60964157228514
2011-11-01,12.579287328350429,8.386191552233619,81.02240295748612,47.674840772818115
2011-12-01,12.570276377542154,8.38018425169477,81.68073937153417,48.38399999999999
2012-01-01,12.588298279158701,8.392198852772468,84.6902772643253,48.674110592938035
2012-02-01,12.137750738745003,8.091833825830003,88.68731977818852,48.38399999999999
2012-03-01,11.894455066921608,7.929636711281073,93.3426987060998,49.02869020652897
2012-04-01,11.831378411263692,7.887585607509128,90.23911275415895,49.544442371752154
2012-05-01,11.651159395098214,7.767439596732142,86.61826247689461,49.51220786142571
2012-06-01,11.71423605075613,7.809490700504086,77.44857670979665,48.996455696202524
2012-07-01,11.768301755605773,7.8455345037371815,83.70277264325321,45.57959760159893
2012-08-01,11.642148444289937,7.761432296193291,90.61530499075783,45.289487008660885
2012-09-01,11.254677559534159,7.503118373022772,87.08850277264324,43.22647834776814
2012-10-01,10.840173822353556,7.226782548235705,85.77182994454712,43.93563757495003
2012-11-01,10.858195723970105,7.238797149313403,85.0664695009242,45.901942704863416
2012-12-01,10.750064314270817,7.166709542847212,82.95038817005543,46.09534976682211
2013-01-01,10.452702937597778,6.968468625065185,84.12598890942698,45.80523917388407
2013-02-01,10.146330610116463,6.764220406744308,85.91290203327169,45.25725249833444
2013-03-01,10.146330610116463,6.764220406744308,83.27955637707946,45.35395602931378
2013-04-01,10.074243003650272,6.7161620024335145,78.15393715341958,45.740770153231175
2013-05-01,10.04721015122545,6.698140100816967,77.73072088724584,44.09681012658228
2013-06-01,9.830947331826874,6.553964887884583,77.35452865064694,43.83893404397068
2013-07-01,9.740837823744135,6.49389188249609,81.02240295748612,42.06603597601598
2013-08-01,9.569629758386931,6.379753172257954,82.05693160813307,42.033801465689535
2013-09-01,9.605673561620026,6.403782374413351,83.09146025878002,41.131235176548955
2013-10-01,9.533585955153834,6.355723970102557,79.79977818853972,42.06603597601598
